time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0,-3.201,8.501,3.044,-34.847,9.074,-22.081,64.7,-0.1,-31.9,-2.754,9.949,11.992,30.968,72.465,81.342,0.228,0.534,0.6,0.55
0.016667,-1.842,8.067,3.766,-42.238,4.621,-21.536,65.7,-0.4,-31.3,-1.918,10.59,11.547,30.239,72.088,81.513,0.223,0.532,0.602,0.552
0.033333,-3.804,8.864,3.061,-41.744,9.208,-19.516,65.9,-2.1,-30.8,-3.595,10.633,13.148,29.472,71.801,81.693,0.218,0.53,0.603,0.554
0.05,-2.719,8.91,3.052,-33.613,14.686,-20.396,66.5,-2,-30.5,-3.127,10.635,11.849,28.794,71.578,81.843,0.213,0.529,0.605,0.556
0.066667,-1.992,8.571,3.941,-31.243,11.104,-17.878,66.7,-1.7,-30.7,0.098,12.242,11.873,28.199,71.327,81.968,0.209,0.528,0.606,0.557
0.083333,-3.885,9.901,4.191,-40.083,13.076,-15.433,67.1,-1.8,-30.4,-1.042,11.703,13.839,27.523,71.11,82.152,0.204,0.526,0.608,0.559
0.1,-4.201,9.885,4.17,-45.137,0.276,-6.044,66.5,-2.4,-30.8,-4.045,12.032,14.83,26.919,70.639,82.452,0.199,0.523,0.611,0.56
0.116667,-4.435,9.492,3.984,-34.031,-2.251,0.654,66.2,-2.6,-30.8,-3.349,10.943,12.976,26.507,70.207,82.769,0.196,0.52,0.613,0.561
0.133333,-3.86,9.065,3.735,-26.582,-8.767,4.086,66.4,-1.2,-30.8,-1.241,11.912,11.576,26.305,69.825,83.013,0.195,0.517,0.615,0.562
0.15,-4.32,9.087,3.516,-29.367,-21.888,9.765,66.9,-2.1,-30.8,-6.524,9.741,10.08,26.259,69.336,83.298,0.195,0.514,0.617,0.563
